CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada;NOME_PULITO;GENERE;PERSONA_ID
2932;3900;VIA AZZO GARDINO;13;Porto - Saragozza;VIA AZZO GARDINO;VIA DEL RONDONE;10188;10205;1991-10-21;86.0;38;;38;;47;;57;;44.501225039742266, 11.336395715110934;"{""coordinates"": [[11.335929558731273, 44.501409605847016], [11.336103649032854, 44.501344645731265], [11.336286717376511, 44.501290313697915], [11.336850836097765, 44.50101362308339]], ""type"": ""LineString""}";758896;AZZO GARDINO;Male;b9fa1ee60f2a228c4568b8460fbef1d6
8759;61550;VIALE GIOVANNI VICINI;13;Porto - Saragozza;VIA SABOTINO;VIALE GIOVANNI VICINI;16686;16687;1999-11-25;8.0;;;;;;;;;44.497181371804835, 11.327479500290352;"{""coordinates"": [[11.327426877080729, 44.497175148139306], [11.327532123499974, 44.49718759547036]], ""type"": ""LineString""}";759738;GIOVANNI VICINI;Male;7a6117fd6535a9f0bd1d9148bad444b1
2913;15980;VIA ALESSANDRO CERVELLATI;13;Porto - Saragozza;VIA DELLE LAME;VIA GIOVANNI BRUGNOLI;10199;10198;1991-10-21;39.0;2;;2;D;1;;1;A;44.501112500268164, 11.333730676371498;"{""coordinates"": [[11.333495705715062, 44.50105590637121], [11.333965647027936, 44.50116909416513]], ""type"": ""LineString""}";758754;ALESSANDRO CERVELLATI;Male;5a201a3853a45d0df9bb2f936cb81dc8
2786;48950;VIA BERNARDINO RAMAZZINI;11;Borgo Panigale - Reno;VIA DOMENICO BIANCOLELLI;VIA BERNARDINO RAMAZZINI;8888;8889;1992-01-10;56.0;2;;4;;3;;3;;44.52133075258784, 11.27691652123215;"{""coordinates"": [[11.276762337928375, 44.52110247568343], [11.277070704535927, 44.52155902949225]], ""type"": ""LineString""}";758938;BERNARDINO RAMAZZINI;Male;1a5585e9a5a7e1cbbc5fcc05f04b1d1e
2789;15000;VIA CARLO CATTANEO;11;Borgo Panigale - Reno;VIA RAFFAELE BOMBELLI;VIA BRUNO BENCIVENNI;8545;8885;1991-10-21;96.0;2;;8;;1;;5;;44.520195988095985, 11.276231938105429;"{""coordinates"": [[11.275685847875868, 44.520384605460904], [11.276778028334988, 44.520007370731065]], ""type"": ""LineString""}";759008;CARLO CATTANEO;Male;30b20e4aba8e8ace3654bc05a38fb65e
2337;43990;ROTONDA ROMANO PARADISI;14;San Donato - San Vitale;VIA GIUSEPPE MASSARENTI;VIA LARGA;7012;6990;1993-04-15;99.0;;;;;;;;;44.49392483876384, 11.390970748697939;"{""coordinates"": [[11.390508982340785, 44.49362675335453], [11.390536290948152, 44.4936785224643], [11.390591824458905, 44.49374631923729], [11.390661718377059, 44.493809115887466], [11.390747295840573, 44.49386205029188], [11.39086099746481, 44.493922695961096], [11.390948986156468, 44.49395461270306], [11.391051206067756, 44.493991290734975], [11.391131936714524, 44.494013645581674], [11.391198541524469, 44.49403165994692], [11.39128437327881, 44.494046498706346], [11.391393554229237, 44.49406362104681], [11.391512195955126, 44.494077727268554]], ""type"": ""LineString""}";760228;ROMANO PARADISI;Male;399e3500abef9e327290433ba707020c
11544;43980;VIA GIOVANNI PAPINI;12;Navile;VIA GIOVANNI PAPINI;VIA GIOVANNI PAPINI;17861;17862;2020-05-08;41.0;;;;;;;;;44.53219467562481, 11.352949192765566;"{""coordinates"": [[11.353202561179522, 44.53215872740082], [11.35269582435161, 44.532230623848804]], ""type"": ""LineString""}";759731;GIOVANNI PAPINI;Male;d104354c4fc1c6b3ae7134ffb89d8a41
11984;17230;ROTONDA LEA COLLIVA;14;San Donato - San Vitale;LARGO GIOVANNI IGNAZIO MOLINA;VIA AZZURRA;18080;18081;2023-12-04;22.0;;;;;;;;;44.490283374871446, 11.37377047555112;"{""coordinates"": [[11.373803989991103, 44.49019829802316], [11.373813412145068, 44.49021384761209], [11.373819651951544, 44.49023496395808], [11.37381904754797, 44.490251370236535], [11.373812284902312, 44.49027036228268], [11.373792818137053, 44.49029365166954], [11.373764186471291, 44.490310829824494], [11.37373637935109, 44.49031919529947], [11.373703698427024, 44.490321819436055], [11.373674158677376, 44.49031848155196]], ""type"": ""LineString""}";1338148;LEA COLLIVA;Female;9e2c0f0d593d81261d96e3372f8ca933
11077;44700;VICOLO PELLEGRINO;12;Navile;VIA DELLA BEVERARA;VIA DELLA BEVERARA;10660;17664;1992-01-10;282.0;4;;6;A;;;;;44.52463708882287, 11.333821921359;"{""coordinates"": [[11.332232468697011, 44.52509432552635], [11.332312048565298, 44.525126099059186], [11.332383310385547, 44.52512855915649], [11.332492066134797, 44.5251106725622], [11.332809809696622, 44.525049354131895], [11.333004126484665, 44.52498077166214], [11.333260243420913, 44.52488351294167], [11.333573224830623, 44.524771389328315], [11.334093326907537, 44.524568875654566], [11.33424122066274, 44.52450319383523], [11.334345839338859, 44.524450154104294], [11.334439662072102, 44.52440124216151], [11.334734131547368, 44.52423663097701], [11.334860536601155, 44.524181182623785], [11.335011873487414, 44.52413305636272], [11.335141801098906, 44.52409711618081], [11.335277588934112, 44.52407084173314], [11.33537024590491, 44.52406111394817], [11.335391361032336, 44.52405983572653]], ""type"": ""LineString""}";759242;PELLEGRINO;Male;18893b108b7f8d9c7340b2c9d6c277f7
11521;5230;VIA FRANCO BASAGLIA;12;Navile;VIA FRANK ZAPPA;VIA GIL EVANS;17535;17849;2011-01-18;77.0;;;;;11;;11;;44.51442777390812, 11.316484776422234;"{""coordinates"": [[11.316885034120169, 44.51426838951944], [11.316765136121397, 44.51426920246056], [11.316585243838812, 44.51435149061982], [11.316106899560056, 44.51465356407215]], ""type"": ""LineString""}";760467;FRANCO BASAGLIA;Male;9582ed88bf2a1c8d332f6b3e7a8513ca
11673;12450;VIA ANTONIO CANOVA;14;San Donato - San Vitale;VIA ANTONIO CANOVA;VIA ANTONIO CANOVA;14076;17921;1997-06-04;80.0;18;;20;;19;;19;;44.4858636789254, 11.400534739683465;"{""coordinates"": [[11.400084195840662, 44.486021511782255], [11.400985283526266, 44.48570584606854]], ""type"": ""LineString""}";758833;ANTONIO CANOVA;Male;44fd4c5b2d62555edc0472e2a03481ff
