nome,genere,tipo,professione_originale,macro_categoria
Marco Minghetti,M,storica,Politico,Politica e diritto
Marco Emilio Lepido,M,storica,Console romano,"Patrioti, militari ed esploratori"
Marco Antonio,M,storica,Generale romano,"Patrioti, militari ed esploratori"
Marcello Oretti,M,storica,Storico dell'arte,"Filosofia, storia e accademia"
Marcello Malpighi,M,storica,"Biologo, medico",Scienze e medicina
Marcantonio Raimondi,M,storica,Incisore,Arte visiva e architettura
Marcantonio Franceschini,M,storica,Pittore,Arte visiva e architettura
Maksim Gorkij,M,storica,Scrittore,Letteratura e giornalismo
Luigi Zamboni,M,storica,Patriota,"Patrioti, militari ed esploratori"
Luigi Valeriani,M,storica,Economista,Politica e diritto
Luigi Serra,M,storica,Pittore,Arte visiva e architettura
Luigi Riccoboni,M,storica,Attore teatrale,"Musica, teatro e cinema"
Luigi Rasi,M,storica,Attore,"Musica, teatro e cinema"
Luigi Pirandello,M,storica,"Scrittore, drammaturgo","Musica, teatro e cinema"
Luigi Pasteur,M,storica,"Chimico, biologo",Scienze e medicina
Luigi Negrelli,M,storica,Ingegnere,Scienze e medicina
Luigi Longo,M,storica,"Politico, partigiano",Resistenza e antifascismo
Luigi Galvani,M,storica,Fisiologo,Scienze e medicina
Luigi Ferdinando Marsili,M,storica,Scienziato,Scienze e medicina
Luigi Fantini,M,storica,"Esploratore, storico","Filosofia, storia e accademia"
Luigi Einaudi,M,storica,"Economista, Pres. Repubblica",Politica e diritto
Luigi Cherubini,M,storica,Compositore,"Musica, teatro e cinema"
Luigi Carlo Farini,M,storica,"Politico, medico",Politica e diritto
Luigi Capuana,M,storica,Scrittore,Letteratura e giornalismo
Luigi Calori,M,storica,"Medico, anatomista",Scienze e medicina
Luigi Busi,M,storica,Pittore,Arte visiva e architettura
Luigi Breventani,M,storica,Storico,"Filosofia, storia e accademia"
Luigi Bertelli (Vamba),M,storica,Scrittore,Letteratura e giornalismo
Ludwig van Beethoven,M,storica,Compositore,"Musica, teatro e cinema"
Ludwig L. Zamenhof,M,storica,Glottoteta (Esperanto),"Filosofia, storia e accademia"
Ludovico Frati,M,storica,Storico,"Filosofia, storia e accademia"
Ludovico Ariosto,M,storica,Poeta,Letteratura e giornalismo
