nome,genere,tipo,professione_originale,macro_categoria
Nilde Iotti,F,proposta,"Politica (PCI), prima donna Presidente della Camera dei Deputati",Politica e diritto
Lidia Poët,F,proposta,"Avvocata, prima donna iscritta all'Albo degli Avvocati in Italia",Politica e diritto
Lina Merlin,F,proposta,"Politica, Madre Costituente, prima donna eletta al Senato della Repubblica",Politica e diritto
Camilla Ravera,F,proposta,"Politica, prima segretaria donna del PCI, prima senatrice a vita della Repubblica",Politica e diritto
Carla Capponi,F,proposta,"Partigiana combattente, parlamentare (PCI)",Resistenza e antifascismo
Maria Montessori,F,proposta,"Medica, pedagogista, fondatrice del Metodo Montessori",Istruzione ed educazione
Lucy Salani,F,proposta,"Attivista trans, sopravvissuta al lager di Dachau, testimone",Sindacalismo e attivismo civile
Luki Massa,F,proposta,"Attivista lesbica, fondatrice del Tiaso di Bologna",Sindacalismo e attivismo civile
Tina Anselmi,F,proposta,"Partigiana, politica DC, prima donna ministro della Repubblica italiana",Resistenza e antifascismo
Franca Viola,F,proposta,"Simbolo nazionale dei diritti delle donne (rifiutò il matrimonio riparatore, 1965)",Sindacalismo e attivismo civile
Germana Boldrini,F,proposta,"Partigiana combattente (Battaglia di Porta Lame, Bologna, 7 novembre 1944)",Resistenza e antifascismo
