QUARTIERE;TIPOLOGIA;NOME;DATA ISTITUZIONE;TIPO;INDIRIZZO;ID;DELIBERA;LABEL1;LABEL2;CLASSIFICAZIONE;NOME COMPLETO;FALDONE;SED_COMM;NOME;DATI ANAGRAFICI;Geo Point;Geo Shape;ISTITUZIONE;ISTITUZIONE ANNO
Borgo Panigale - Reno;Giardino;Sorelle Mirabal;2012-05-08;Aree verdi (57);via Salvemini;54;Delibera di Giunta 8 maggio 2012;Giardino Sorelle Mirabal;Mirabal;Attiviste contro la dittatura;Patria Mercedes, Maria Argentina Minerva, Antonia Maria Teresa;27 - Delibere del 2012;1 marzo 2012;Sorelle Mirabal;Tre sorelle nate a Ojo de Agua e morte a Salcedo nella Repubblica Dominicana: Patria Mercedes 1924-1960, Maria Argentina 1926-1960, Antonia Maria Teresa 1935-1960;44.502398301854214, 11.2768584968991;"{""coordinates"": [[[11.278048566399434, 44.50281692672089], [11.277597866353613, 44.502529451308405], [11.275834883118794, 44.50141816932623], [11.275687336312542, 44.50154409464595], [11.27582272965394, 44.50177464016385], [11.275936331097608, 44.50174913663861], [11.276316919457528, 44.50242395299652], [11.276441878683263, 44.502490722568254], [11.276839351705583, 44.502507465790664], [11.276895324537541, 44.503230668868554], [11.27797385347618, 44.50289683079723], [11.278033077603467, 44.502875709752765], [11.278051585000084, 44.502858126468496], [11.278055979812459, 44.50284771941088], [11.278051991193848, 44.502827175481336], [11.278048566399434, 44.50281692672089]], [[11.277373927264641, 44.50273034690451], [11.277097928798709, 44.50281461084252], [11.27697947086196, 44.50261399734967], [11.277262778149884, 44.502528436998674], [11.277373927264641, 44.50273034690451]]], ""type"": ""Polygon""}";2011-2015;2012
Navile;Giardino;Medea Zanardi;2012-05-08;Aree verdi (57);via Molino di Pescarola;101;Delibera di Giunta 8 maggio 2012;Giardino Medea Zanardi;Zanardi;Ostetrica di guerra;Medea Zanardi;27 - Delibere del 2012;1 marzo 2012;Medea Zanardi;Bologna, 1894-1974;44.525116054233884, 11.320963161163062;"{""coordinates"": [[[11.321334477032789, 44.524737567107884], [11.321287471130107, 44.52459645126839], [11.321239911836033, 44.524508475474626], [11.320655896044014, 44.52471829172077], [11.320431653720387, 44.52437656864967], [11.32032159211526, 44.52440476783223], [11.320454799360688, 44.52466121775428], [11.320474802652434, 44.524697850284845], [11.320521067591068, 44.52480483933261], [11.32100726137169, 44.52577567720404], [11.321128591893443, 44.526018935866105], [11.32144447234299, 44.52591860527464], [11.320913031826645, 44.52508210118224], [11.321397479114506, 44.52490500753817], [11.321334477032789, 44.524737567107884]]], ""type"": ""Polygon""}";2011-2015;2012
Santo Stefano;Giardino;Lavinia Fontana;2009-04-14;Aree verdi (57);via del Piombo;31;Delibera di Giunta 14 aprile 2009;Giardino Lavinia Fontana;Fontana;Pittrice;Lavinia Fontana;24 - Delibere del 2008-2009;16 dicembre 2008;Lavinia Fontana;Bologna, 1552 - Roma, 1614;44.48800859686669, 11.355532526367353;"{""coordinates"": [[[11.355184167798278, 44.4876169256883], [11.355214968281855, 44.487794153369244], [11.354903933061802, 44.4879053402716], [11.354985460493397, 44.488027127358954], [11.354958992723269, 44.48803638937723], [11.354937824882018, 44.48804379565639], [11.354927898832795, 44.48805429924033], [11.354921693679666, 44.48805903301647], [11.354927129646699, 44.488073862365404], [11.354941336757202, 44.48809788608924], [11.354946760374514, 44.48810706191496], [11.354947928931795, 44.488109037180486], [11.354951300692404, 44.48811473375165], [11.354951448946425, 44.488114957717585], [11.35536105137661, 44.487974490569705], [11.355370689634755, 44.48799016105061], [11.355462039643436, 44.48796260245233], [11.355790299165616, 44.48846168227778], [11.355699510053313, 44.48849113787169], [11.355684732367035, 44.48846856687683], [11.355627591558914, 44.488488994768865], [11.3556907230189, 44.48858811418305], [11.35568564421091, 44.48858975559802], [11.355713379195992, 44.48863340559047], [11.355816047058223, 44.48860280332991], [11.35579035240627, 44.488530542552], [11.356096182441792, 44.48844400866219], [11.355488306315236, 44.48750117575016], [11.355184167798278, 44.4876169256883]]], ""type"": ""Polygon""}";2006-2010;2010
Savena;Giardino;Angiola Sbaiz;2015-09-01;Aree verdi (57);via Portazza;88;Delibera di Giunta 1 settembre 2015;Giardino Angiola Sbaiz;Sbaiz;Avvocato e Pubblico Amministratore;Angiola Sbaiz, detta Lula;31 - Delibere del 2015-2016;27 maggio 2015;Angiola Sbaiz;Cordovado (PN), 1909 - Bologna, 1999;44.470980161330175, 11.387668845733907;"{""coordinates"": [[[11.388116543244363, 44.470824755920944], [11.388063862300383, 44.47086129167193], [11.388013868513708, 44.470893791772944], [11.387988809445527, 44.47090936784951], [11.387957806001362, 44.47092451393661], [11.387938574954156, 44.47093161995916], [11.38791111289529, 44.47093979283178], [11.387892844001032, 44.47094258828393], [11.387868621890796, 44.470943544560086], [11.387853018691349, 44.47094142518261], [11.38783691516597, 44.470937871863164], [11.387820120143783, 44.470933538283276], [11.387801966671633, 44.47092636301089], [11.387787765569064, 44.47091581936605], [11.387774203487167, 44.470903332978885], [11.387764386341878, 44.47089114980975], [11.3877572612536, 44.47087967182198], [11.387751432910258, 44.47086678473823], [11.387743458966844, 44.470839824466665], [11.387738290682234, 44.470824254899775], [11.387664236094166, 44.47057590443342], [11.387622557745413, 44.47058533533787], [11.387590056079286, 44.47046965102051], [11.387555282432839, 44.470474354586145], [11.387541737326822, 44.470426236259634], [11.387573676800349, 44.470418223980865], [11.387558804438742, 44.470355045131825], [11.387598895315982, 44.470347091916096], [11.38757155530363, 44.47023960601076], [11.387565918345462, 44.47021745307709], [11.387564371675113, 44.47021768163572], [11.387520524666314, 44.47022515402321], [11.386996291666328, 44.47030411001928], [11.38698053924058, 44.47030696159148], [11.386972346233772, 44.47028373510291], [11.386833200093449, 44.47031105352927], [11.386828524000743, 44.4703119220583], [11.387337019342274, 44.47099164387171], [11.387272374848378, 44.47101575725922], [11.387287808185356, 44.47104176111403], [11.387463227538005, 44.47130714111677], [11.387430872294487, 44.47131804705701], [11.387701795488189, 44.47169758571464], [11.388512396027847, 44.47138753906615], [11.388116543244363, 44.470824755920944]]], ""type"": ""Polygon""}";2011-2015;2015
Navile;Giardino;Anna Morandi Manzolini;2010-09-30;Aree verdi (57);via Aimo;56;Delibera del Commissario Straordinario 30 settembre 2010;Giardino Anna Morandi Manzolini;Morandi Manzolini;Scultrice ceroplasta;Anna Morandi Manzolini;25 - Delibere del 2010;21 luglio 2010;Anna Morandi Manzolini;Bologna, 1714-1774;44.53033654773091, 11.348811851223374;"{""coordinates"": [[[11.349619948085095, 44.53069793225529], [11.349555013931537, 44.53052820400951], [11.349498190900407, 44.53038553560848], [11.349441646988376, 44.53024340399452], [11.349548140356912, 44.53022512526108], [11.349519934393875, 44.53015867441296], [11.349514070513209, 44.530131220323604], [11.349514569679409, 44.530112190976986], [11.349524231474197, 44.53008964518838], [11.349540067283678, 44.53007124995079], [11.349562758981374, 44.53005746430642], [11.349587529744491, 44.53004553982992], [11.349612876420535, 44.53004176552686], [11.349643932079692, 44.53004151321544], [11.349671406478858, 44.53004569627973], [11.349691025590076, 44.530052895041514], [11.349714303380608, 44.53006762634562], [11.349731782041562, 44.530086756524916], [11.349743588127858, 44.53011313575422], [11.34975481487093, 44.530143035344004], [11.34976655622761, 44.530174212608664], [11.350200085668849, 44.53009138754905], [11.350173406288175, 44.53002918940394], [11.350162558554835, 44.52999423400407], [11.350168076314638, 44.529968437848545], [11.350185387802908, 44.529938586720036], [11.350208410797034, 44.52992442396562], [11.350231910923492, 44.52991429255887], [11.350246705817904, 44.529910410908876], [11.350268524795684, 44.529907448134686], [11.350290002174214, 44.529908058784095], [11.35031621703282, 44.52991427396254], [11.350336964332925, 44.52992096414193], [11.350355407803558, 44.5299319827698], [11.35037533176787, 44.529954026002024], [11.350388707910643, 44.52997985820959], [11.350413889550174, 44.53003828627418], [11.350417948087438, 44.53004443090161], [11.350422051393116, 44.53004782450476], [11.350431215831927, 44.530050414600844], [11.350439920269446, 44.530051127200096], [11.350499453152324, 44.53003862336121], [11.350546907825814, 44.53002871373469], [11.350457578681302, 44.52972373804524], [11.350439404247036, 44.5297249605365], [11.3503197585086, 44.52972484943999], [11.350279867709938, 44.52976728323849], [11.350246255475065, 44.52978292797131], [11.35020467667523, 44.52978701563611], [11.350113466562759, 44.529781502357174], [11.349845551891399, 44.529695411250515], [11.349563488171599, 44.52959256865937], [11.349477110129714, 44.52956239597156], [11.349190455477109, 44.52949057588731], [11.349077946565579, 44.52947694178733], [11.348964413964868, 44.52947398783131], [11.348794739862745, 44.529483931974895], [11.348615326331634, 44.52951006587725], [11.348449745258094, 44.5295455000105], [11.348266684956545, 44.52959088604785], [11.348082361463335, 44.52964162415347], [11.347962941503356, 44.52967502035658], [11.347922731702724, 44.52967692434925], [11.347866401603175, 44.529685557465776], [11.34782144344015, 44.529681167499504], [11.347755382523308, 44.529671890148045], [11.347682052145528, 44.52966702716988], [11.347631455261837, 44.52967021329705], [11.347553312157986, 44.52969208728461], [11.347479319779445, 44.529706417105025], [11.347419637335015, 44.529706596388486], [11.34738036671478, 44.5296956934979], [11.347290838919458, 44.529719605152316], [11.347335901796118, 44.52983841904198], [11.347394808111886, 44.52984705455409], [11.34755880220278, 44.5298145970581], [11.34755869945776, 44.52981664103507], [11.3475724239075, 44.5298579112458], [11.347638333270009, 44.5298446722046], [11.347781113918876, 44.53022773063156], [11.347743206490605, 44.53023543184266], [11.34790040759358, 44.53065422365101], [11.347914671278824, 44.53069221564207], [11.348015243550103, 44.53096010447612], [11.348040102717164, 44.531021556154485], [11.348030373690568, 44.53102345400807], [11.347993739572233, 44.53103059658171], [11.348146894809943, 44.531415568943316], [11.348183407124617, 44.53140870542719], [11.34828166541389, 44.53138974434499], [11.348333711486587, 44.53137970010932], [11.348430484718795, 44.53136102459319], [11.3485153873293, 44.5313446386417], [11.348574236487208, 44.531333282029834], [11.349009626163506, 44.53124939176235], [11.349061562232283, 44.531239385176626], [11.34909666992112, 44.53123261960526], [11.34911997062243, 44.53122812903351], [11.349775367741842, 44.53110266034954], [11.349756337691673, 44.5310422111747], [11.349701461746763, 44.530901287146044], [11.349619948085095, 44.53069793225529]]], ""type"": ""Polygon""}";2006-2010;2010
San Donato - San Vitale;Rotonda;Sabina Santilli;2015-03-10;Strade (79);via Crocione, via Lungosavena, via Bargello, via Alberoni;87;Delibera di Giunta 10 marzo 2015;Rotonda Sabina Santilli;Santilli;Educatrice;Sabina Santilli;30 - Delibere del 2014-2015;21 gennaio 2015;Sabina Santilli;San Benedetto dei Marsi (AQ), 1917-1999;44.51340094427719, 11.432812982526086;"{""coordinates"": [[[11.432088043845416, 44.51372288420195], [11.432113217548777, 44.51375177395791], [11.432137536056176, 44.513771488529386], [11.432167708892095, 44.51379358713914], [11.432200595848647, 44.51381390929065], [11.432236085039392, 44.51383275289555], [11.432267223701112, 44.51384847263364], [11.43229312563847, 44.51385958341661], [11.432320732367272, 44.513871554926844], [11.43234418387652, 44.51388046627833], [11.43237146999436, 44.51388843947776], [11.432402693262128, 44.51389736462783], [11.432430065533302, 44.51390398233896], [11.43245608715149, 44.51390879540636], [11.432490936694231, 44.51391442005113], [11.432520299096401, 44.513918915475294], [11.432546104500014, 44.51392210986137], [11.432575440320308, 44.51392459627747], [11.432602667119507, 44.513924889056526], [11.432639707078172, 44.51392436428141], [11.432672515657645, 44.51392298022787], [11.432706767249702, 44.513921353351925], [11.432744462619356, 44.51391757505677], [11.432773622200713, 44.51391409592603], [11.432813864724734, 44.5139072739535], [11.43285692357722, 44.51389820566057], [11.432887246658503, 44.51389092840688], [11.432962256034216, 44.513868522611105], [11.433034564394063, 44.51384613037259], [11.433278102497187, 44.51376719167129], [11.433304650049664, 44.513757475671525], [11.433333264397463, 44.51374529715705], [11.433356605858888, 44.513734196058614], [11.43338456726939, 44.513721202989935], [11.433411851250273, 44.51370726078902], [11.433432850703737, 44.51369551857681], [11.433459704953002, 44.51367831361805], [11.433481429681983, 44.51366120002109], [11.433498588743308, 44.513645597510695], [11.433525639330146, 44.5136168975292], [11.433547376459464, 44.51359084056743], [11.433563164068314, 44.513569943126456], [11.433581463845098, 44.51354417781645], [11.433598540695739, 44.51351642177006], [11.43360975513054, 44.51349463492171], [11.433620310202294, 44.51347450436047], [11.433627376949449, 44.51345385879729], [11.43363186625173, 44.513435171413896], [11.433636559537677, 44.51341361848952], [11.433638958483098, 44.51338859359607], [11.433639462567783, 44.513355273063986], [11.433637221283902, 44.51332043151854], [11.433631847055302, 44.51328148017531], [11.433625116449296, 44.51325037714757], [11.433616099308392, 44.51322027368106], [11.433601913543248, 44.513187198394114], [11.433586715978093, 44.513160135189565], [11.43356573123679, 44.51312780893803], [11.43355056895335, 44.513106313881664], [11.4335289786965, 44.5130808563336], [11.433500764752685, 44.51305425895434], [11.433469386323504, 44.51302959529484], [11.43343888920878, 44.513004486402956], [11.43340730765893, 44.512982203307715], [11.433381724663313, 44.5129645077119], [11.433351114872863, 44.51294693443491], [11.433321018861463, 44.5129358577473], [11.433286276628625, 44.51292606688381], [11.433230383470166, 44.51290965067848], [11.433178588720924, 44.512895932719886], [11.43312608503136, 44.51288600565126], [11.433069617425987, 44.512878382924306], [11.433022853311169, 44.512874259655185], [11.432969457370726, 44.51287277262597], [11.432907726787073, 44.512876577272905], [11.432850010985586, 44.51288280292509], [11.432799825129184, 44.51289161691488], [11.43274309023086, 44.51290497014865], [11.43265304518306, 44.51293126222014], [11.432574173708325, 44.51295524171518], [11.432444776448696, 44.51300010303428], [11.432346972557331, 44.51303560925082], [11.432295475619172, 44.51305767201242], [11.432250632641122, 44.513079219101925], [11.432218652382593, 44.51309826925009], [11.432192245126002, 44.51311492084251], [11.432167851397177, 44.51313003112318], [11.432145275854438, 44.51314755784884], [11.432114671778354, 44.51317824767252], [11.432089711981654, 44.51320746644944], [11.432067844089033, 44.51323466986252], [11.432045617797005, 44.51326549943523], [11.432030816902628, 44.513292846894885], [11.432017650465031, 44.51331930407704], [11.432007866099665, 44.513343884005074], [11.431999154842497, 44.51336812486043], [11.431992956580794, 44.51339396701703], [11.43198870956922, 44.51341904019662], [11.431987881331683, 44.51343976132619], [11.431987689482598, 44.51346114923171], [11.431989188778445, 44.513483981816094], [11.431994199980544, 44.5135185338407], [11.43200138090628, 44.51355697308792], [11.432010087954975, 44.513586880958506], [11.432023480664586, 44.513618769619185], [11.43203902814917, 44.513654189224546], [11.432057354566911, 44.51368418505931], [11.432088043845416, 44.51372288420195]]], ""type"": ""Polygon""}";2016-2020;2016
Savena;Giardino;Alida Valli;2017-07-04;Aree verdi (57);via Marx;93;Delibera di Giunta 4 luglio 2017;Giardino Alida Valli;Valli;Attrice;Alida Maria Altenburger von Markenstein und Frauenberg;32 - Delibere del 2017;15 dicembre 2016 e 19 aprile 2017;Alida Valli;Pola (Croazia), 1921 - Roma, 2006;44.48377347557972, 11.392986100936916;"{""coordinates"": [[[11.392339972237686, 44.48370559776781], [11.392646026313502, 44.48417544811473], [11.39309932245783, 44.48402461362895], [11.393634798841827, 44.48377865978822], [11.393362673206147, 44.48338682360799], [11.392339972237686, 44.48370559776781]]], ""type"": ""Polygon""}";2016-2020;2018
San Donato - San Vitale;Giardino;Margherita Guidacci;2017-07-04;Aree verdi (57);via Curti - Via Ghiberti;38;Delibera di Giunta 4 luglio 2017;Giardino Margherita Guidacci;Guidacci;Poetessa e traduttrice;Margherita Guidacci;32 - Delibere del 2017;27 maggio 2015 e 19 aprile 2017;Margherita Guidacci;Firenze, 1921 - Roma, 1992;44.49482688246948, 11.383454395751738;"{""coordinates"": [[[11.383713967238709, 44.494450505868315], [11.383396177117342, 44.49447713898215], [11.38338915878866, 44.49445260466975], [11.38327002528696, 44.494462985416], [11.383165284653181, 44.49416826534692], [11.383067409576354, 44.49389969661828], [11.382985014250911, 44.49365468630456], [11.382888419288895, 44.49366637931274], [11.382879146758599, 44.493623249212675], [11.382864712622935, 44.49356104142135], [11.38276289250973, 44.49357123764706], [11.38304004207868, 44.49449771966018], [11.382752388375499, 44.49452358927836], [11.382769259360328, 44.494574366233024], [11.382742821321218, 44.49457871637037], [11.382910566782062, 44.49468057120427], [11.383206952605933, 44.49467033484731], [11.383239264375911, 44.49477073664289], [11.383473956346274, 44.49543363360333], [11.383369220349193, 44.49545172572725], [11.38333256622388, 44.49556980949342], [11.384108513255061, 44.49567531810453], [11.383713967238709, 44.494450505868315]]], ""type"": ""Polygon""}";2016-2020;2018
Porto - Saragozza;Giardino;Graziella Fava;1979-11-26;Aree verdi (57);via Milazzo;30;Delibera del Consiglio Comunale 26 novembre 1979;Giardino Graziella Fava;Fava;Vittima dei terroristi;Graziella Fava;6 - Delibere dal 1977 al 1979;12 novembre 1979;Graziella Fava;Pianoro (BO), 1929 - Bologna, 1979;44.5042847439462, 11.337788995885257;"{""coordinates"": [[[11.338121924575505, 44.50448185676371], [11.338275766546955, 44.50426817732136], [11.338370969427011, 44.504135935737956], [11.338458013246356, 44.50412986727486], [11.338578075546998, 44.50394278472089], [11.338580401722028, 44.50388050741133], [11.338565420306386, 44.50385465768781], [11.33852901728084, 44.50386178592958], [11.336900253146183, 44.504116601658176], [11.336847759102469, 44.50412477964707], [11.336809910000387, 44.504139397993846], [11.33680461230004, 44.504148404822715], [11.336800314210485, 44.50416925470853], [11.336806676594831, 44.50418269567137], [11.336814703784738, 44.504189695639226], [11.336824282833176, 44.50419662429526], [11.336874521807951, 44.50422192592631], [11.338199916801813, 44.50489201638467], [11.338393110090488, 44.5048632655977], [11.338268623642374, 44.504764019702804], [11.338135894075599, 44.50467488020737], [11.338064573564981, 44.504615084256294], [11.338059726572471, 44.50456820495229], [11.338121924575505, 44.50448185676371]]], ""type"": ""Polygon""}";1976-1980;1979
Santo Stefano;Giardino;Maria Montessori;2018-03-06;Aree verdi (57);via Laura Bassi Veratti;55;Delibera di Giunta 6 marzo 2018;Giardino Maria Montessori;Montessori;Educatrice, pedagogista, filosofa, medico;Maria Tecla Artemisia Montessori;32 - Delibere del 2017;29 novembre 2017;Maria Montessori;Chiaravalle (AN), 1870 - Noordwijk (Olanda), 1952;44.48290092268562, 11.367775942629766;"{""coordinates"": [[[11.367368627383373, 44.48276098265458], [11.367682821888629, 44.483207011304536], [11.368162872503884, 44.48302778425741], [11.367845020958768, 44.48259005288262], [11.367728082589457, 44.48263413085074], [11.367727813479913, 44.482634731712295], [11.367740956086537, 44.482652907543866], [11.367688352642743, 44.48267240928424], [11.367669733819044, 44.48264932917351], [11.36755029876601, 44.482693259688546], [11.367368627383373, 44.48276098265458]], [[11.367492209085244, 44.48290621017166], [11.367406955320003, 44.482772661196556], [11.367470186960448, 44.4827519478518], [11.367555571093908, 44.48288558415297], [11.367492209085244, 44.48290621017166]]], ""type"": ""Polygon""}";2016-2020;2018
Porto - Saragozza;Via;Anne Frank;1993-04-07;Strade (79);da via Don Luigi Sturzo, non ha sfogo;32;Delibera di Giunta 7 aprile 1993;Via Anne Frank;Frank;Giovane scrittrice ebrea;Annelies Marie Frank;11 - Delibere del 1993;30 giugno 1992;Anne Frank;Francoforte sul Meno (Germania), 1929 - Bergen Belsen (Germania), 1945;44.48697697972451, 11.29549041462945;"{""coordinates"": [[[11.296129013445364, 44.48626656239769], [11.296126910930447, 44.48626666205148], [11.296124862120806, 44.48626701291609], [11.296122924904566, 44.48626760507796], [11.296121154016971, 44.48626842180579], [11.296119599493892, 44.48626944002309], [11.296118305258094, 44.48627063096026], [11.29484160646177, 44.4876733502396], [11.294840623700107, 44.487674654313956], [11.294839954941516, 44.4876760570116], [11.294839618432064, 44.487677520064445], [11.294839623353697, 44.48767900355773], [11.294839969573601, 44.48768046701911], [11.294840647647659, 44.48768187052266], [11.294841639077973, 44.48768317577828], [11.294842916817366, 44.48768434717625], [11.29484444600723, 44.48768535275876], [11.294846184928446, 44.48768616509177], [11.294848086139597, 44.487686762013354], [11.294850097771318, 44.48768712723855], [11.294852164941473, 44.48768725080342], [11.29485423125259, 44.487687129336976], [11.294856240330633, 44.48768676615313], [11.294858137363141, 44.48768617116027], [11.294859870594744, 44.48768536059087], [11.294861392739255, 44.48768435655873], [11.294862662269779, 44.48768318645567], [11.296139325673582, 44.48628048650779], [11.296140303256964, 44.48627919097968], [11.296140972374065, 44.486277797895625], [11.296141315057096, 44.4862763446652], [11.296141322104404, 44.48627487031316], [11.296140993327498, 44.48627341443143], [11.296140337556022, 44.48627201611596], [11.296139372400583, 44.4862707129168], [11.296138123779773, 44.48626953982981], [11.296136625224078, 44.4862685283569], [11.29613491697548, 44.48626770566], [11.296133044906794, 44.48626709383177], [11.296131059289804, 44.486266709302285], [11.296129013445364, 44.48626656239769]]], ""type"": ""Polygon""}";1991-1995;1995
Santo Stefano;Via;Clotilde Tambroni;1925-11-06;Strade (79);da via Mezzofanti a via Masi;90;Delibera del Consiglio Comunale 6 novembre 1925;Via Clotilde Tambroni;Tambroni;Grecista, letterata ed erudita;Clotilde Tambroni;1 - Delibere dal 1807 al 1945;25 e 29 maggio 1925;Clotilde Tambroni;Bologna, 1758-1817;44.4854223734893, 11.363459989714215;"{""coordinates"": [[[11.363311491832656, 44.485612993589655], [11.36434032298297, 44.485273756471095], [11.365276368120323, 44.48497223086033], [11.365278282789456, 44.48497146393002], [11.365279982827348, 44.48497047084773], [11.365281416588369, 44.4849692817825], [11.36528254051622, 44.48496793285697], [11.365283320467194, 44.484966465050185], [11.36528373274733, 44.484964922952614], [11.365283764832252, 44.48496335341152], [11.365283415747578, 44.484961804107996], [11.36528269609848, 44.48496032210819], [11.365281627747493, 44.484958952433736], [11.365280243150297, 44.48495773669401], [11.365278584369731, 44.484956711821916], [11.365276701797969, 44.484955908952216], [11.365274652625633, 44.484955352475396], [11.365272499104433, 44.484955059296865], [11.365270306656047, 44.484955038323264], [11.365268141884693, 44.48495529019195], [11.365266070553806, 44.48495580725163], [11.36433002235917, 44.48525733318706], [11.364329920006863, 44.48525736779885], [11.363303042938556, 44.4855959597581], [11.363103632388658, 44.485607155350216], [11.361858190910239, 44.48557492010222], [11.361567484003555, 44.48555450859898], [11.361565395972285, 44.485554485170454], [11.361563330364062, 44.48555470697988], [11.361561343536197, 44.485555167975654], [11.361559489696488, 44.48555585558039], [11.361557819424176, 44.485556751034096], [11.361556378289942, 44.48555782990593], [11.361555205612541, 44.48555906276078], [11.361554333386069, 44.48556041596234], [11.361553785407116, 44.485561852590884], [11.361553576625557, 44.48556333345043], [11.361553712736772, 44.485564818138286], [11.361554190026327, 44.48556626614727], [11.36155499547144, 44.48556763797095], [11.361556107096341, 44.48556889618148], [11.361557494571933, 44.48557000645075], [11.361559120043296, 44.48557093848702], [11.361560939162505, 44.48557166686132], [11.36156290229856, 44.48557217170129], [11.361564955891446, 44.485572439233366], [11.361856046061332, 44.48559287634855], [11.361856831970277, 44.485592915754495], [11.363103398805379, 44.48562517876726], [11.363103660902297, 44.48562518201213], [11.363104815388274, 44.485625157543026], [11.363307205416017, 44.48561379282105], [11.36330867474785, 44.485613648416106], [11.363310110257489, 44.48561338075559], [11.363311491832656, 44.485612993589655]]], ""type"": ""Polygon""}";1921-1925;1925
